Subject,Course ,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Year,Term,Course Subject,Course Number,Course Section,Sched Type,A Range,B Range,C Range,D Range,Course,Section
ACCY,,70685,Machine Learning for Accting,20,6,0,0,0,0,0,0,0,0,0,0,1,0,3.85,"Lu, Zhenzhong L",2020,SPRING,,,,ONL,,,,,577,
ACE,,30470,Intro to Applied Micro,1,10,4,3,1,1,0,2,1,0,2,0,1,0,3.15,"Yu, Chengzheng",2020,SPRING,,,,DIS,,,,,100,
ACE,,30473,Intro to Applied Micro,0,3,3,1,5,1,1,1,2,1,1,0,2,0,2.57,"Yu, Chengzheng",2020,SPRING,,,,DIS,,,,,100,
ACE,,30480,Intro to Applied Micro,0,1,4,3,3,2,5,1,1,0,0,0,2,0,2.65,"Wei, Min-Fang",2020,SPRING,,,,DIS,,,,,100,
ACE,,30486,Microcomputer Applications,0,14,0,0,2,0,0,3,0,0,0,0,2,0,3.24,"Batts, Ryan M",2020,SPRING,,,,LBD,,,,,161,
ACE,,30504,Microcomputer Applications,0,13,0,0,5,0,0,4,0,0,0,0,0,0,3.41,"Burnett, Meghan L",2020,SPRING,,,,LBD,,,,,161,
ACE,,30505,Microcomputer Applications,0,17,0,0,3,0,0,2,0,0,1,0,1,0,3.42,"Lo, Alexander C",2020,SPRING,,,,LBD,,,,,161,
ACE,,30487,Microcomputer Applications,0,15,0,0,8,0,0,2,0,0,0,0,1,0,3.38,"Batts, Ryan M",2020,SPRING,,,,LBD,,,,,161,
ACE,,30507,Microcomputer Applications,0,16,0,0,8,0,0,1,0,0,0,0,0,0,3.6,"Lo, Alexander C",2020,SPRING,,,,LBD,,,,,161,
ACE,,30513,Microcomputer Applications,0,40,0,0,9,0,0,3,0,0,0,0,1,0,3.64,"Burnett, Meghan L",2020,SPRING,,,,ONL,,,,,161,
ACE,,30493,Microcomputer Applications,0,14,0,0,6,0,0,4,0,0,1,0,1,0,3.19,"Lo, Alexander C",2020,SPRING,,,,LBD,,,,,161,
ACE,,30494,Microcomputer Applications,0,16,0,0,8,0,0,3,0,0,0,0,0,0,3.48,"Lo, Alexander C",2020,SPRING,,,,LBD,,,,,161,
ACE,,48181,Digital Mktg and Social Media,0,45,0,0,2,0,0,0,0,0,0,0,0,0,3.96,"Lo, Alexander C",2020,SPRING,,,,LCD,,,,,199,
ACE,,30528,Environmental Economics,16,30,11,9,15,17,6,4,1,1,2,0,0,0,3.32,"Gramig, Benjamin",2020,SPRING,,,,LEC,,,,,210,
ACE,,55458,Food and Agribusiness Mgt,33,59,23,19,15,9,3,1,3,1,2,0,1,0,3.56,"Stoddard, Paul B",2020,SPRING,,,,LCD,,,,,231,
ACE,,30577,Farm Management,0,26,8,5,13,0,0,0,0,0,0,0,0,0,3.63,"Hubbs, Joseph T",2020,SPRING,,,,LCD,,,,,232,
ACE,,71275,Personal Financial Planning,159,23,0,0,9,0,0,19,0,0,1,0,2,1,3.73,"Lemoine, Craig",2020,SPRING,,,,ONL,,,,,240,
ACE,,55444,Personal Financial Planning,251,40,0,0,32,0,0,12,0,0,3,0,4,0,3.76,"Lemoine, Craig",2020,SPRING,,,,ONL,,,,,240,
ACE,,55447,Personal Financial Planning,27,16,10,4,5,1,2,2,0,0,2,0,3,0,3.48,"Stoddard, Paul B",2020,SPRING,,,,LCD,,,,,240,
ACE,,39440,The World Food Economy,0,13,8,13,12,9,6,3,4,1,2,0,2,0,2.94,"Gundersen, Craig",2020,SPRING,,,,LEC,,,,,251,
ACE,,44225,Economic Systems in Africa,6,11,3,3,2,4,1,0,0,0,2,0,0,0,3.44,"Amadu, Festus O",2020,SPRING,,,,LCD,,,,,254,
ACE,,67437,Econ of Food & Enviro Justice,108,13,1,2,1,0,0,0,0,0,0,0,3,0,3.89,"Ando, Amy W",2020,SPRING,,,,LEC,,,,,255,
ACE,,60578,Applied Statistical Methods,13,8,7,5,10,5,4,4,6,4,1,1,0,0,3.0,"Gundersen, Lisa C",2020,SPRING,,,,LEC,,,,,261,
ACE,,70717,App Stat Mthds & Data Anlytcs2,6,7,1,3,4,1,5,5,3,2,0,0,3,0,2.74,"Dall'Erba, Sandy",2020,SPRING,,,,LCD,,,,,264,
ACE,,30581,Consumer Economics,0,8,10,14,14,12,8,7,3,1,1,0,2,0,2.87,"Gundersen, Craig",2020,SPRING,,,,LEC,,,,,270,
